#,key,char,hbl,cat,edb,jp,eng,cmn,urd,urd_,nep,hin,hin_,ind
1390,靚,靚,hbl__00,cat__v_adj,edb__NA,leng3,good-looking,好看,خوبصورت,khoobsurat,सुन्दर,सुंदर,sundar,bagus
1400,鞋,鞋,hbl__00,cat__n_daily,edb__KS1,haai4,shoe,鞋,جوتا,joota,जुत्ता,जूता,joota,sepatu
1410,頭,頭,hbl__00,cat__n_body,edb__KS1,tau4,head,头,سر,sir,Head,सिर,sir,kepala
1420,食,食,hbl__00,cat__v_act,edb__KS1,sik6,to eat,吃,کھانا,khaana,खानु,खाना,khaana,makan
1430,食飯,食飯,hbl__00,cat__v_act,edb__NA,sik6-faan6,to eat rice,吃饭,چاول کھانا,chawal khana,चामल खानको लागि,चावल  खाना,chawal khana,makan nasi
1440,食飯,食飯,hbl__00,cat__v_act,edb__NA,sik6-faan6,to have a meal,吃饭,کھانا کھانا,khana khana,खाना छ,भोजन करना,bhojan karna,makan (belum tentu nasi)
1450,飯,飯,hbl__00,cat__n_food,edb__KS1,faan6,meal,饭,کھانا,khana,खाना,भोजन,bhojan,nasi
1460,飲,飲,hbl__00,cat__v_act,edb__KS1,jam2,to drink,喝,پینا,peena,पिउनु,पीना,peena,minum
1470,點,點,hbl__00,cat__n_time,edb__KS1,dim2,dot,点,نقطہ,nukht,डट,बिंदु,bindu,Motif bulat
1480,點,點,hbl__00,cat__n_time,edb__KS1,dim2,drop,点,گرانا,giraana,ड्रप,गिराना,giraana,netes
1490,點,點,hbl__00,,edb__KS1,dim2,how,怎样,کیسے,kaise,कसरी,कैसे,kaise,bagaimana
1500,點,點,hbl__00,cat__n_time,edb__KS1,dim2,o'clock,点,بجے,baje,समय,बजे,baje,jam
1510,點鐘,點鐘,hbl__00,cat__n_time,edb__KS2,dim2-zung1,o'clock,点钟,بجے,baje,समय,बजे,baje,jam
1520,鼻,鼻,hbl__00,cat__n_body,edb__NA,bei6,nose,鼻子,ناک,naak,नाक,नाक,naak,hidung
8880,一下,一下,hbl__01,,edb__KS1,jat1-haa5,once,一下,ایک بار,aik baar,थोरै,एक सा,,satu kali
1530,一啲,一啲,hbl__01,cat__num,edb__NA,jat1-di1,some,一些,کچھ,kuch,केहि,कुछ,kuch,beberapa
1540,一定,一定,hbl__01,cat__adv,edb__KS1,jat1-ding6,sure,一定,ضرور,zaroor,निश्चित,ज़रूर,zaroor,pasti
1550,一樣,一樣,hbl__01,cat__v_stat,edb__KS1,jat1-joeng6,the same,一样,ایسا ہی,aisa hi,उस्तै,वही,vahi,sama
1560,一陣,一陣,hbl__01,cat__n_time,edb__NA,jat1-zan6,a while,一会儿,کچھ وقت,kuch wakt,केहि समय,कुछ समय,kuch samay,untuk sementara
1570,一齊,一齊,hbl__01,cat__adv,edb__KS1,jat1-cai4,together,一起,ایک ساتھ,ek saath,एकसाथ,एक साथ,ek saath,bersama
1580,七,七,hbl__01,cat__num,edb__KS1,cat1,seven,七,سات,saat,सात,सात,saat,tujuh
1600,上,上,hbl__01,cat__v_dir,edb__KS1,soeng6,top,上,اوپر,upar,माथि,ऊपर,upar,atas
1590,上,上,hbl__01,cat__v_dir,edb__KS1,soeng5,go up,上,اوپر جاؤ,upar jao,माथी जाऊ,ऊपर,upar,naik
1610,上去,上去,hbl__01,cat__v_dir,edb__KS1,soeng5-heoi3,go up,上去,اوپر جاؤ,upar jana,माथी जाऊ,ऊपर जाना,upar jana,naik keatas
1620,上嚟,上嚟,hbl__01,cat__v_dir,edb__NA,soeng5-lai4,come up,上来,اوپر آجاؤ,upar ao,माथि आऊ,ऊपर आना,upar aana,majulah
1630,上晝,上晝,hbl__01,cat__n_time,edb__NA,soeng6-zau3,morning,上午,صبح,subah,बिहान,सुबह,subah,pagi
1640,上面,上面,hbl__01,cat__n_loc,edb__NA,soeng6-min6,above,上面,اوپر,upar,माथि,ऊपर,upar,atas
1650,下晝,下晝,hbl__01,cat__n_time,edb__NA,haa6-zau3,afternoon,下午,سہ پہر,sephahr,दिउँसो,दोपहर,dopahar,sore
1660,下面,下面,hbl__01,cat__n_loc,edb__NA,haa6-min6,below,下面,نیچے,neeche,तल,नीचे,neeche,di bawah
1670,不如,不如,hbl__01,cat__conj,edb__KS2,bat1-jyu4,how about,不如,کیوں نہ,kyun nah,कस्तो होला,इसके इलावा,iske ilava,tidak sebagus
1680,九,九,hbl__01,cat__num,edb__KS1,gau2,nine,九,نو,nau,नौ,नौ,nau,sembilan
1690,亂,亂,hbl__01,cat__v_adj,edb__KS1,lyun6,in a mess,乱,گندگی میں,gandgi mein,गडबड मा,गड़बड़ में,gadbad mein,berantakan
1700,今日,今日,hbl__01,cat__n_time,edb__KS1,gam1-jat6,today,今天,آج,aaj,आज,आज,aaj,hari ini
1710,件,件,hbl__01,cat__mw,edb__KS1,gin6,(measure),件,(measure),(measure),(measure),(measure),(measure),satuan bagian
1720,伯伯,伯伯,hbl__01,cat__n_ppl,edb__KS1,baak3-baak3,father's elder brother,伯伯,تایا,taya,बुबाको दाइ,ताऊ,taau,paman
1730,估,估,hbl__01,cat__v_act,edb__NA,gu2,to guess,估,اندازہ لگانا,andaza lagana,अनुमान गर्न,अनुमान लगाना,anumaan lagana,memperkirakan
1740,你哋,你哋,hbl__01,cat__pron,edb__NA,nei5-dei6,you (plural),你们,آپ,aap,तपाईं,आप,aap,kalian
1750,佢哋,佢哋,hbl__01,cat__pron,edb__NA,keoi5-dei6,they,他们,وہ,wo,तिनीहरू,वे,ve,mereka
1760,俾,俾,hbl__01,cat__v_act,edb__NA,bei2,to give,给,دینا,dena,दिनु,देना,dena,memberikan
1770,俾,俾,hbl__01,cat__v_act,edb__NA,bei2,"by, to",给,بذریعہ / کو,"bzrya, ko",द्वारा,द्वारा / को,"dwara, ko",untuk
1780,做,做,hbl__01,cat__v_act,edb__KS1,zou6,to do,做,کرنا,karna,गर्नु पर्ने,करना,karna,melakukan
1790,停,停,hbl__01,cat__v_act,edb__KS1,ting4,to stop,停,روکنا,rukna,क्रममा रोक्न को लागी,रुकना,rukna,berhenti
1800,兔仔,兔仔,hbl__01,cat__n_animal,edb__NA,tou3-zai2,rabbit,小兔,خرگوش,khargosh,खरायो,खरगोश,khargosh,kelinci
105730,兩下,兩下,hbl__01,,,loeng5-haa5,twice,,,,,,,
1810,八,八,hbl__01,cat__num,edb__KS1,baat3,eight,八,آٹھ,aath,आठ,आठ,aath,delapan
1820,公公,公公,hbl__01,cat__n_ppl,edb__KS1,gung4-gung1,grandfather (mother's father),外公,نانا,nana,आमा बुवा,नाना,nana,kakek
1830,六,六,hbl__01,cat__num,edb__KS1,luk6,six,六,چھ,cheh,छ,छह,cheh,enam
1840,再,再,hbl__01,cat__adv,edb__KS1,zoi3,again,再,پھر,phir,फेरी,फिर,phir,lagi
1850,凍,凍,hbl__01,cat__v_adj,edb__KS2,dung3,cold,冷,سردی,sardi,चिसो,सर्दी,sardi,dingin
1860,到,到,hbl__01,cat__v_act,edb__KS1,dou3,to,到,کو,ko,सेवा,को,ko,sampai
1870,包,包,hbl__01,cat__n_food,edb__KS1,baau1,to wrap,包,لپیٹنا,lpetna,र्‍याप गर्न,लपेटना,lapetna,bungkus
105800,匙羹,匙羹,hbl__01,,,ci4-gang1,spoon,,,,,,,
1880,十,十,hbl__01,cat__num,edb__KS1,sap6,ten,十,دس,dus,दस,दस,dus,sepuluh
1890,去街,去街,hbl__01,cat__n_act,edb__NA,heoi3-gaai1,go out,上街,باہر جانا,baahar jao,बाहिर जाऊ,बाहर जाओ,baahar jao,turun ke jalan
1900,又,又,hbl__01,cat__conj,edb__KS1,jau6,again,又,بار بار,baar baar,बारम्बार,बार बार,baar baar,juga
1910,叔叔,叔叔,hbl__01,cat__n_ppl,edb__KS1,suk1-suk1,uncle,叔叔,چچا,chacha,काका,चाचा,chacha,paman
1920,叔叔,叔叔,hbl__01,cat__n_ppl,edb__KS1,suk1-suk1,father's younger brother,叔叔,چچا,chacha,बुबाको कान्छो भाई,चाचा,chacha,paman
1930,口渴,口渴,hbl__01,cat__v_adj,edb__KS1,hau2-hot3,thirsty,渴,پیاسا,pyaasa,तिर्खाएको,प्यासा,pyaasa,haus
